mes,año,linea,flota,en_servicio,reserva,rg,mantenimiento_estacionamiento,alistamiento
2,2019,D,Alstom 300,6,0,0,1,1
2,2019,E,GEE,1,0,2,5,0
2,2019,E,Fiat FM,5,0,0,9,0
2,2019,H,Alstom 300,9,5,0,1,0
2,2019,P,Materfer,8,1,1,2,0
3,2019,A ,CNR,19,1,0,1,0
3,2019,B,Mitsub.,12,3,1,0,0
3,2019,B,CAF 6000,10,1,0,0,0
3,2019,C,CNR,3,0,0,1,1
3,2019,C,Nagoya 300,3,1,0,2,0
3,2019,C,Nagoya 5000,4,0,0,0,0
3,2019,D,Alstom 100,14,0,1,0,0
3,2019,D,Alstom 300,7,0,0,1,0
3,2019,E,GEE,3,0,2,3,0
3,2019,E,Fiat FM,7,0,0,7,0
3,2019,H,Alstom 300,14,0,0,1,0
3,2019,P,Materfer,8,1,1,2,0
4,2019,A ,CNR,19,2,0,1,1
4,2019,B,Mitsub.,9,0,1,6,0
4,2019,B,CAF 6000,9,0,0,2,0
4,2019,C,CNR,3,0,0,1,1
4,2019,C,Nagoya 300,4,1,0,1,0
4,2019,C,Nagoya 5000,4,0,0,0,0
4,2019,D,Alstom 100,13,1,1,0,0
4,2019,D,Alstom 300,8,0,0,0,1
4,2019,E,GEE,4,0,2,2,0
4,2019,E,Fiat FM,9,0,0,5,0
4,2019,H,Alstom 300,14,0,0,1,0
4,2019,P,Materfer,8,1,1,2,0
5,2019,A ,CNR,21,2,0,0,1
5,2019,B,Mitsub.,12,0,1,3,0
5,2019,B,CAF 6000,8,0,0,3,1
5,2019,C,CNR,4,0,0,0,1
5,2019,C,Nagoya 300,4,1,0,1,0
5,2019,C,Nagoya 5000,3,1,0,0,0
5,2019,D,Alstom 100,13,0,1,1,0
5,2019,D,Alstom 300,8,0,0,0,1
5,2019,E,GEE,6,0,1,1,0
5,2019,E,Fiat FM,9,1,0,5,0
5,2019,H,Alstom 300,14,0,0,1,0
5,2019,P,Materfer,8,1,1,2,0
6,2019,A ,CNR,21,4,0,0,0
6,2019,B,Mitsub.,13,1,1,1,0
6,2019,B,CAF 6000,9,0,0,2,1
6,2019,C,CNR,3,0,0,1,1
6,2019,C,Nagoya 300,4,0,0,2,0
6,2019,C,Nagoya 5000,3,0,0,1,0
6,2019,D,Alstom 100,13,1,1,0,0
6,2019,D,Alstom 300,8,1,0,0,1
6,2019,E,GEE,6,0,1,1,0
6,2019,E,Fiat FM,9,1,1,5,0
6,2019,H,Alstom 300,14,0,0,1,0
6,2019,P,Materfer,8,1,1,2,0
7,2019,A ,CNR,21,2,0,1,0
7,2019,B,Mitsub.,14,1,1,0,0
7,2019,B,CAF 6000,5,1,1,5,0
7,2019,C,CNR,4,0,0,1,1
7,2019,C,Nagoya 300,4,1,0,1,0
7,2019,C,Nagoya 5000,3,0,0,1,0
7,2019,D,Alstom 100,14,0,1,0,0
7,2019,D,Alstom 300,7,2,0,0,2
7,2019,E,GEE,5,0,1,2,0
7,2019,E,Fiat FM,11,1,1,3,0
7,2019,H,Alstom 300,14,0,0,1,0
7,2019,P,Materfer,8,2,0,2,0
8,2019,A ,CNR,19,1,0,2,0
8,2019,B,Mitsub.,13,0,1,2,0
8,2019,B,CAF 6000,7,0,0,5,0
8,2019,C,CNR,4,0,0,1,3
8,2019,C,Nagoya 300,4,1,0,1,0
8,2019,C,Nagoya 5000,2,0,0,2,0
8,2019,D,Alstom 100,11,2,1,1,0
8,2019,D,Alstom 300,10,0,0,0,2
8,2019,E,GEE,3,0,1,4,0
8,2019,E,Fiat FM,8,1,1,6,0
8,2019,H,Alstom 300,14,0,0,1,0
8,2019,P,Materfer,8,2,0,2,0
9,2019,A ,CNR,19,1,0,1,0
9,2019,B,Mitsub.,11,1,1,3,0
9,2019,B,CAF 6000,10,0,0,2,0
9,2019,C,CNR,7,1,0,1,0
9,2019,C,Nagoya 5000,3,0,0,1,0
9,2019,D,Alstom 100,11,1,0,0,0
9,2019,D,Alstom 300,11,0,0,0,2
9,2019,E,GEE,4,0,1,3,0
9,2019,E,Fiat FM,7,2,1,6,0
9,2019,E,Alstom 100,,0,0,1,2
9,2019,H,Alstom 300,13,0,0,2,0
9,2019,P,Materfer,8,2,0,2,0
